id,value
id_0,25.2938134917
id_1,63.6295225434
id_2,18.9695826522
id_3,29.4738567423
id_4,9.36752058821
id_5,33.0178829257
id_6,41.0411550747
id_7,17.6485658361
id_8,52.4732233871
id_9,32.4977573461
id_10,38.8584745698
id_11,58.6419918642
id_12,35.2965726756
id_13,41.6329259619
id_14,26.7761477902
id_15,12.4568079687
id_16,51.6332577609
id_17,23.6078806632
id_18,17.8393344088
id_19,18.9961532409
id_20,15.7871911377
id_21,31.130851271
id_22,38.8822763013
id_23,11.0528837137
id_24,61.403897546
id_25,46.2525135242
id_26,28.7612672779
id_27,7.01757977728
id_28,29.3682416214
id_29,36.637906574
id_30,18.0353517569
id_31,11.6174028959
id_32,16.6208311506
id_33,7.80096138512
id_34,15.7240167158
id_35,42.3659968358
id_36,22.2045145632
id_37,27.750321327
id_38,8.70359407982
id_39,58.8944439048
id_40,47.7792568624
id_41,20.1308598864
id_42,52.5903496748
id_43,18.4058718481
id_44,44.7996331798
id_45,49.5003283744
id_46,57.3941940185
id_47,41.0276377726
id_48,55.4529209975
id_49,39.5815918274
id_50,30.3656186714
id_51,24.250457849
id_52,38.7828746568
id_53,23.5675330814
id_54,37.4104863043
id_55,38.7255233824
id_56,24.8256246473
id_57,21.9235549947
id_58,35.663104199
id_59,32.3347930894
id_60,13.519210267
id_61,22.1269672498
id_62,32.518187238
id_63,53.979979945
id_64,50.5884792388
id_65,25.7416266048
id_66,38.3110025623
id_67,52.6871336109
id_68,28.6283262353
id_69,39.7985294616
id_70,64.7158443963
id_71,55.5327446128
id_72,42.2292166153
id_73,13.8457341452
id_74,14.0795934546
id_75,35.8266584271
id_76,62.5799656644
id_77,2.56229198714
id_78,41.3136599089
id_79,42.3868034612
id_80,8.38349861167
id_81,22.8856149349
id_82,5.23646821975
id_83,30.8278840818
id_84,8.46719284684
id_85,5.05163106895
id_86,17.1827506001
id_87,11.2531325661
id_88,20.139094202
id_89,25.2834036049
id_90,34.9976225523
id_91,11.566987556
id_92,12.586637526
id_93,9.01790809261
id_94,38.1022052305
id_95,14.7759807195
id_96,16.8828247629
id_97,8.77159626811
id_98,11.599592769
id_99,4.82079140553
id_100,9.8335262898
id_101,18.2213171653
id_102,11.963768429
id_103,8.08415513396
id_104,12.6837114669
id_105,36.5703988834
id_106,26.0025741186
id_107,7.38852747862
id_108,16.6860126488
id_109,15.0974370408
id_110,12.1224117743
id_111,16.7083687572
id_112,16.2720755549
id_113,26.451800666
id_114,18.8957260206
id_115,16.4359288876
id_116,5.89437078659
id_117,46.0094517606
id_118,26.7630047774
id_119,0.534046113337
id_120,-0.999535985152
id_121,9.25316329598
id_122,12.8165696729
id_123,12.6820408944
id_124,7.48116084604
id_125,25.1021307875
id_126,21.0821499353
id_127,10.3076890219
id_128,20.5140768519
id_129,14.3241976445
id_130,-0.558943768076
id_131,32.4846659361
id_132,13.7760505496
id_133,21.2808490114
id_134,26.5060989649
id_135,23.7786742884
id_136,10.1882290602
id_137,20.9421752151
id_138,78.5641665363
id_139,60.6784693737
id_140,26.5626450953
id_141,18.7934544952
id_142,24.3442893215
id_143,7.34869980964
id_144,11.7968099626
id_145,10.2616130106
id_146,19.0550334375
id_147,7.59502102852
id_148,12.6088645042
id_149,15.2965474363
id_150,46.4263217334
id_151,22.3169586567
id_152,22.0503270719
id_153,14.3206566389
id_154,14.0081996089
id_155,24.6894877735
id_156,25.344478482
id_157,36.4523381609
id_158,4.58845154873
id_159,23.5800299293
id_160,42.9077933111
id_161,19.232808382
id_162,63.9648259283
id_163,17.0228096235
id_164,33.6329757367
id_165,24.203991022
id_166,24.0975250942
id_167,0.217961297394
id_168,66.7211434443
id_169,15.2999646961
id_170,15.9283737491
id_171,70.1338152709
id_172,20.3920804289
id_173,1.7185079034
id_174,23.4152123835
id_175,-0.3388091393
id_176,7.41964589476
id_177,18.2145838423
id_178,20.4255126878
id_179,25.0200973825
id_180,43.1012555206
id_181,31.8090827621
id_182,27.9107280719
id_183,13.1130721729
id_184,6.77344969152
id_185,41.7565454804
id_186,35.9647634222
id_187,34.5869605232
id_188,17.1872482198
id_189,23.2117833953
id_190,14.2852923614
id_191,16.3799621409
id_192,30.7236153108
id_193,71.7237600037
id_194,29.2677929591
id_195,10.8854594243
id_196,63.470700566
id_197,15.8579037973
id_198,20.1326162033
id_199,20.8489955114
id_200,124.189333384
id_201,23.2278874016
id_202,58.222260384
id_203,6.2472754251
id_204,60.764898408
id_205,36.596750021
id_206,15.0151864378
id_207,13.6308414655
id_208,62.9329907584
id_209,14.6995422907
id_210,36.3200215498
id_211,68.7379617958
id_212,18.5788398151
id_213,113.497883466
id_214,41.1225286382
id_215,78.4392554962
id_216,92.6587014881
id_217,71.7713379015
id_218,30.0829294765
id_219,18.0876822418
id_220,30.5815724163
id_221,58.0244729254
id_222,27.8702676147
id_223,37.6912829657
id_224,43.0923333834
id_225,10.757526504
id_226,3.90064087412
id_227,80.764197937
id_228,31.000410792
id_229,1.01928430872
id_230,41.0729842695
id_231,15.9873451787
id_232,22.1037598978
id_233,7.8902156046
id_234,14.5039530755
id_235,25.2414667368
id_236,13.6666342088
id_237,2.70846102448
id_238,21.523324911
id_239,11.3539082216
